Summary weighted ranks,Ageing,Anti-Corruption,Benchmarking Progress,Catastrophic Risks,Chronic Diseases & Well-being,Climate Change,Competitiveness,Conflict Prevention,Design,Ecosystems & Biodiversity,Education,Emerging Multinationals,Emerging Technologies,Employment & Social Protection,Energy Security,Fiscal Crises,Food Security,Fragile States,Future of Government,Geopolitical Risk,Human Rights,Humanitarian Assistance,Illicit Trade,Informed Societies,Innovation,Institutional Governance Systems,Intellectual Property System,International Legal System,International Monetary System,Internet Security,Migration,Next Generation,Ocean Governance,Organized Crime,Population Growth,Poverty & Economic Development,Role of Business,Skills & Talent Mobility,Social Innovation,Space Security,Systemic Financial Risk,Terrorism,Trade,Urbanization,Values,Water Security,Weapons of Mass Destruction,Women’s Empowerment,Africa,China,Europe & Central Asia,India,Japan,Korea,Latin America,Middle East & North Africa,North America,South-East Asia,Automotive,"Aviation, Travel & Tourism",Banking & Capital Markets,Consumer,Health,Insurance & Asset Management,Logistics & Supply Chain,"Media, Entertainment & Information",Mining & Metals,Private Fund Managers,Public & Institutional Investors,Real Estate,Renewable Energy,Telecom
Geopolitical Risk,0.1,0,0,0.333333333,0,0.133333333,0,0.4,0,0,0,0,0,0,0.433333333,0.366666667,0,0,0,0.266666667,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.166666667,0,0,0,0,0.06,0.933333333,0.26,0.1,0,0,0.06,0.386666667,0.1,0,0,0,0.68,0,0.12,0,0.286666667,0.06,0.06,0.166666667,0.24,0,0.226666667,0.06
Human Rights,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0.4,0.2,0,0,0.28,0,0,0,0.24,0,0.2,0,0,0.12,0,0,0,0,0.16,0.16,0,0,0,0,0,0,0,0,0,0,0,0.72,0.24,0,0,0,0,0.12,0.38,0.2,0.24,0,0,0,0.25,0.4,0,0.15,0.35,0.15,0,0.25,0,0.1,0.25
Humanitarian Assistance,0,0,0,0.285714286,0,0.571428571,0,0,0,0,0,0,0,0,0,0,0.114285714,0.542857143,0,0.085714286,0,0,0,0,0,0,0,0,0,0,0.085714286,0,0,0,0,0.4,0.085714286,0.114285714,0,0,0,0,0,0.114285714,0,0,0,0,0.585714286,0.042857143,0.185714286,0.142857143,0,0,0.214285714,0.085714286,0,0.642857143,0,0,0,0,0.342857143,0.317857143,0.728571429,0.075,0,0,0.285714286,0.075,0,0.075
Illicit Trade,0,0.454545455,0,0,0,0,0,0,0,0,0,0,0.072727273,0,0,0.054545455,0,0.327272727,0,0.156060606,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0.637878788,0,0.221212121,0,0,0,0,0,0.109090909,0.2,0,0,0,0,0,0.6,0.560606061,0.186363636,0.127272727,0,0.027272727,0.160606061,0,0.137878788,0.1,0,0.196666667,0.499393939,0.305757576,0.06,0.054545455,0.531212121,0.114545455,0.083333333,0,0.054545455,0,0,0
Informed Societies,0,0.08,0,0,0,0,0.06,0,0,0,0.4,0,0.42,0,0,0,0,0,0.36,0,0.22,0,0,0,0.16,0.08,0.16,0,0,0,0,0.16,0,0,0,0.06,0,0,0,0,0,0,0.06,0,0.1,0,0,0.08,0.444444444,0.566666667,0.033333333,0.166666667,0,0,0.1,0.211111111,0.377777778,0,0,0,0.075,0.1125,0,0,0.0375,0.966666667,0,0.066666667,0.0375,0,0,0.604166667
Innovation,0,0,0,0.145454545,0,0.072727273,0.290909091,0,0.054545455,0,0.290909091,0,0.4,0,0.127272727,0.2,0,0,0,0,0,0,0,0,0,0,0.181818182,0,0,0,0,0.054545455,0,0,0,0.090909091,0.181818182,0.054545455,0.163636364,0,0,0,0,0,0.090909091,0,0,0,0.109090909,0.390909091,0.172727273,0.336363636,0.054545455,0.090909091,0.054545455,0,0.690909091,0,0.03,0.090909091,0.527272727,0.150909091,0.254545455,0.054545455,0.03,0.266363636,0.054545455,0.03,0.120909091,0,0.23,0.06
Institutional Governance Systems,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0.55,0,0,0,0,0,0,0,0,0.35,0,0,0,0.35,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.075,0.525,0,0,0,0.15,0.075,0.075,0,0,0.325,0,0.075,0,0,0.325,0,0,0.65,0,0.45,0.075
Intellectual Property System,0,0,0,0,0,0.133333333,0.233333333,0,0,0,0,0,0.3,0,0,0,0.166666667,0,0,0,0,0.166666667,0,0,0.766666667,0,0,0,0,0.1,0,0,0,0,0,0.2,0,0,0.1,0,0,0,0.233333333,0,0,0,0,0,0.333333333,0.526666667,0.18,0.346666667,0,0,0.06,0,0.286666667,0.166666667,0,0,0,0.226666667,0.5,0,0.286666667,0.466666667,0,0.06,0.06,0,0.12,0.18
International Legal System,0,0,0.08,0,0,0.24,0,0.08,0,0,0,0,0.08,0,0.08,0,0,0.08,0.4,0,0.46,0.12,0,0,0,0.46,0,0,0.06,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0.242857143,0.242857143,0.478571429,0,0.05,0,0.15,0.335714286,0.4,0,0,0.1,0.6,0.1,0.216666667,0,0,0.05,0.266666667,0.05,0.316666667,0,0.2,0
International Monetary System,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0,0,0.166666667,0.12,0,0,0,0,0,0.12,0,0,0.133333333,0,0,0,0,0,0,0.133333333,0,0,0,0.12,0.833333333,0,0.133333333,0,0,0,0,0,0,0.62,0.38,0,0.06,0,0,0,0.84,0,0,0,1,0,0,0.12,0,0,0,0.39,0.24,0,0.15,0
Internet Security,0,0.25,0,0,0,0,0.2,0,0,0,0.15,0,0.7,0,0,0,0,0,0,0,0,0,0,0.25,0.2,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0.35,0,0,0,0,0,0.15,0,0,0,0.866666667,0.2,0.533333333,0,0,0,0.1,0,0.2,0,0,0,0.3,0.45,0,0,0,0.15,0,0,0,0,0,1
Migration,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0.4,0.45,0,0.7,0,0,0,0,0,0,0,0,0,0,0.65,0.075,0.725,0,0,0,0,0.15,0.3,0,0,0.25,0.55,0.25,0.55,0,0,0,0,0,0.3,0,0,0
